symbol,base_asset,quote_asset,trading_status,snapshot_time,hourly_candles,daily_candles,controlled_activity_history_complete,coin200_history_complete,history_complete,data_error,latest_hourly_open,latest_daily_open,last_price,quote_volume_24h,prior_impulse,base_low_120h,base_high_120h,base_range_120h,resistance_distance,volume_contraction,trigger_volume_ratio,trigger_trade_ratio,taker_buy_ratio,return_72h,btc_return_72h,btc_relative_strength_72h,trigger_open,trigger_close,completed_daily_close,ma_200d,ma_200d_20d_ago
0GUSDT,0G,USDT,TRADING,2026-09-13T23:40:18.680290+00:00,800,240,True,True,True,,2026-09-13T22:00:00+00:00,2026-09-12T00:00:00+00:00,0.1983,1826256.101989,0.48235294117647043,0.1804,0.2099,0.1635254988913526,0.07003334921391134,1.147646391326165,1.6552766693905598,1.3055197631899704,0.3650480727155755,0.06550218340611358,-0.0015936446829596385,0.06709582808907322,0.2025,0.1952,0.1968,0.36837949999999997,0.41086749999999994
1000CATUSDT,1000CAT,USDT,TRADING,2026-09-13T23:40:18.684423+00:00,800,240,True,True,True,,2026-09-13T22:00:00+00:00,2026-09-12T00:00:00+00:00,0.002073,352709.618096,0.3118750000000001,0.00192,0.00215,0.11979166666666674,0.04232558139534881,0.7369949800354192,2.234451293058467,2.0108214461387113,0.5088768588657879,0.06518365235385404,-0.0015936446829596385,0.06677729703681368,0.002106,0.002059,0.002081,0.00168349,0.0016672800000000002
1000CHEEMSUSDT,1000CHEEMS,USDT,TRADING,2026-09-13T23:40:18.687819+00:00,800,240,True,True,True,,2026-09-13T22:00:00+00:00,2026-09-12T00:00:00+00:00,0.000507,258932.200249,0.11789473684210527,0.000498,0.000539,0.08232931726907644,0.05936920222634512,0.6175637475446513,3.081642017660596,1.313841368584759,0.5023044904834315,0.011976047904191489,-0.0015936446829596385,0.013569692587151128,0.000515,0.000507,0.000515,0.000521475,0.000518975
1000SATSUSDT,1000SATS,USDT,TRADING,2026-09-13T23:40:18.691149+00:00,800,240,True,True,True,,2026-09-13T22:00:00+00:00,2026-09-12T00:00:00+00:00,1.04e-05,324910.49991443,0.12238805970149258,1.008e-05,1.142e-05,0.1329365079365079,0.09632224168126105,0.8583308407335132,6.850366778578335,5.486238532110092,0.4332737166375052,0.0038910505836575737,-0.0015936446829596385,0.005484695266617212,1.061e-05,1.032e-05,1.073e-05,1.13426e-05,1.1375149999999999e-05
1INCHUSDT,1INCH,USDT,TRADING,2026-09-13T23:40:18.694456+00:00,800,240,True,True,True,,2026-09-13T22:00:00+00:00,2026-09-12T00:00:00+00:00,0.0915,602461.11515,0.1454993834771885,0.0878,0.0941,0.07175398633257402,0.0329436769394262,1.23222150507155,1.0019636442460713,1.5735271377764033,0.5208531265643037,0.03174603174603163,-0.0015936446829596385,0.03333967642899127,0.0925,0.091,0.092,0.0865865,0.0869605
1MBABYDOGEUSDT,1MBABYDOGE,USDT,TRADING,2026-09-13T23:40:18.697757+00:00,800,240,True,True,True,,2026-09-13T22:00:00+00:00,2026-09-12T00:00:00+00:00,0.0003765,303419.6367647,0.2593749999999999,0.0003666,0.0004069,0.10992907801418439,0.07987220447284352,1.0612106965313202,6.6446705638053905,4.584154175588865,0.5068086468544347,0.003215434083601254,-0.0015936446829596385,0.0048090787665608925,0.0003797,0.0003744,0.0003825,0.0003697885,0.00037123500000000003
2ZUSDT,2Z,USDT,TRADING,2026-09-13T23:40:18.700978+00:00,800,240,True,True,True,,2026-09-13T22:00:00+00:00,2026-09-12T00:00:00+00:00,0.04646,266229.59893,0.09666955017301015,0.04532,0.05174,0.14165931156222422,0.10552763819095476,0.5195327193458721,1.349909447533139,2.233559800025638,0.6871863525091799,-0.0012947777298230045,-0.0015936446829596385,0.0002988669531366339,0.04719,0.04628,0.04695,0.07287535,0.07550345
AAVEUSDT,AAVE,USDT,TRADING,2026-09-13T23:40:18.704217+00:00,800,240,True,True,True,,2026-09-13T22:00:00+00:00,2026-09-12T00:00:00+00:00,124.65,7427427.10798,0.5168170631665301,120.29,131.19,0.09061434865741114,0.05091851513072637,0.8959492359246979,2.7256373875811537,3.548086509942122,0.41024234589163133,0.02124343832021003,-0.0015936446829596385,0.022837083003169667,126.21,124.51,125.56,97.14795,96.08650000000002
ACEUSDT,ACE,USDT,TRADING,2026-09-13T23:40:18.707487+00:00,800,240,True,True,True,,2026-09-13T22:00:00+00:00,2026-09-12T00:00:00+00:00,0.1499,1701519.68891,0.2920152091254753,0.1436,0.179,0.246518105849582,0.1748603351955307,0.7037746438854021,1.3325526680792301,1.5509172190534917,0.40750746869779686,-0.050160771704180096,-0.0015936446829596385,-0.04856712702122046,0.1506,0.1477,0.1578,0.12138200000000002,0.119692
ACHUSDT,ACH,USDT,TRADING,2026-09-13T23:40:18.710745+00:00,800,240,True,True,True,,2026-09-13T22:00:00+00:00,2026-09-12T00:00:00+00:00,0.00506,499997.66132,0.2658536585365854,0.00476,0.00538,0.13025210084033612,0.06691449814126395,1.269789847841997,2.5692380353475017,1.468162872715614,0.3054171215945542,0.03292181069958855,-0.0015936446829596385,0.03451545538254819,0.00514,0.00502,0.00503,0.005733649999999999,0.0059812
ACMUSDT,ACM,USDT,TRADING,2026-09-13T23:40:18.713965+00:00,800,240,True,True,True,,2026-09-13T22:00:00+00:00,2026-09-12T00:00:00+00:00,0.268,335028.3132,0.10116731517509714,0.264,0.285,0.07954545454545436,0.056140350877192845,0.8701975804969454,1.6400573661706743,1.1772692434030438,0.45747800131075844,0.0,-0.0015936446829596385,0.0015936446829596385,0.271,0.269,0.272,0.35074,0.36711
ACTUSDT,ACT,USDT,TRADING,2026-09-13T23:40:18.717179+00:00,800,240,True,True,True,,2026-09-13T22:00:00+00:00,2026-09-12T00:00:00+00:00,0.00946,151315.621971,0.17173913043478262,0.00935,0.01093,0.1689839572192513,0.13540713632204943,0.5061115702197821,5.238851167681899,4.8335340881715245,0.4942168561897939,-0.011506276150627714,-0.0015936446829596385,-0.009912631467668076,0.00968,0.00945,0.00979,0.011630050000000001,0.012040299999999999
ADAUSDT,ADA,USDT,TRADING,2026-09-13T23:40:18.720401+00:00,800,240,True,True,True,,2026-09-13T22:00:00+00:00,2026-09-12T00:00:00+00:00,0.204,14907661.90786,0.28855140186915884,0.2004,0.2231,0.11327345309381243,0.09188704616763779,0.837804464565834,3.6072488917843786,4.7290119464718465,0.43649619083451857,-0.019361084220716362,-0.0015936446829596385,-0.017767439537756724,0.2076,0.2026,0.2074,0.217117,0.22332649999999998
ADXUSDT,ADX,USDT,TRADING,2026-09-13T23:40:18.723723+00:00,800,240,True,True,True,,2026-09-13T22:00:00+00:00,2026-09-12T00:00:00+00:00,0.0592,524167.3949,0.026936026936026813,0.0559,0.0624,0.11627906976744184,0.0512820512820512,0.6552369290369195,1.2743167626390728,1.2766492146596857,0.1028199607997242,0.03135888501742157,-0.0015936446829596385,0.032952529700381206,0.0602,0.0592,0.0584,0.0655615,0.06717250000000001
AEROUSDT,AERO,USDT,TRADING,2026-09-13T23:40:18.726761+00:00,800,58,True,False,False,,2026-09-13T22:00:00+00:00,2026-09-12T00:00:00+00:00,0.5571,1502813.6008,0.5483061480552069,0.5377,0.6254,0.1631021015436116,0.11064918452190588,0.8230372055873011,2.92099899043263,3.9689643539862813,0.24139662892932057,0.02111253901230037,-0.0015936446829596385,0.022706183695260007,0.5689,0.5562,0.5666,,
AEVOUSDT,AEVO,USDT,TRADING,2026-09-13T23:40:18.729980+00:00,800,240,True,True,True,,2026-09-13T22:00:00+00:00,2026-09-12T00:00:00+00:00,0.02215,177493.70431,0.23037190082644643,0.021,0.02403,0.14428571428571413,0.08322929671244271,0.5510167606728774,1.5897877274857695,1.8867286559594252,0.406360227614031,0.02656104380242308,-0.0015936446829596385,0.028154688485382717,0.02255,0.02203,0.02232,0.02260475,0.023048250000000003
AGLDUSDT,AGLD,USDT,TRADING,2026-09-13T23:40:18.733195+00:00,800,240,True,True,True,,2026-09-13T22:00:00+00:00,2026-09-12T00:00:00+00:00,0.1795,1211887.54083,0.14797611147976109,0.16,0.1931,0.20687499999999992,0.08026929052304499,2.9671824438193712,1.0261041408409866,1.018643395477985,0.4838433974852057,0.09157959434542096,-0.0015936446829596385,0.0931732390283806,0.1819,0.1776,0.1748,0.2057015,0.212982
AIGENSYNUSDT,AIGENSYN,USDT,TRADING,2026-09-13T23:40:18.736239+00:00,800,122,True,False,False,,2026-09-13T22:00:00+00:00,2026-09-12T00:00:00+00:00,0.0193,351911.15457,0.07717215326497562,0.01903,0.02025,0.06410930110352098,0.04395061728395071,0.5816887063429341,2.6647521171176427,2.8763666947014297,0.3202123895588145,0.005714285714285561,-0.0015936446829596385,0.007307930397245199,0.01973,0.01936,0.01964,,
