variant,family,signal_id,symbol,stage,year,duration_hours,exit_reason,pnl_usdt
TIME_FIXED5_CAP7D,TIME_ONLY,EB1:SOLUSDT:2021-03-20T12:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,10.0,STOP,-15.727357500000041
FIXEDTP_FIXED5_TP10_CAP7D,FIXED_TP,EB1:SOLUSDT:2021-03-20T12:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,10.0,STOP,-15.727357500000041
FIXEDTP_FIXED5_TP20_CAP7D,FIXED_TP,EB1:SOLUSDT:2021-03-20T12:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,10.0,STOP,-15.727357500000041
TIME_FIXED7_CAP7D,TIME_ONLY,EB1:SOLUSDT:2021-03-20T12:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,17.0,STOP,-21.7183605
FIXEDTP_FIXED7_TP10_CAP7D,FIXED_TP,EB1:SOLUSDT:2021-03-20T12:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,17.0,STOP,-21.7183605
FIXEDTP_FIXED7_TP20_CAP7D,FIXED_TP,EB1:SOLUSDT:2021-03-20T12:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,17.0,STOP,-21.7183605
TIME_FIXED7_CAP30D,TIME_ONLY,EB1:SOLUSDT:2021-03-20T12:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,17.0,STOP,-21.7183605
FIXEDTP_FIXED7_TP10_CAP30D,FIXED_TP,EB1:SOLUSDT:2021-03-20T12:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,17.0,STOP,-21.7183605
FIXEDTP_FIXED7_TP20_CAP30D,FIXED_TP,EB1:SOLUSDT:2021-03-20T12:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,17.0,STOP,-21.7183605
TIME_STRUCT_CAP10_CAP7D,TIME_ONLY,EB1:SOLUSDT:2021-03-20T12:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,108.0,STOP,-30.70486499999999
FULL_TRAIL_FIXED7_GB30_CAP30D,FULL_TRAIL,EB1:SOLUSDT:2021-03-20T12:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,17.0,INITIAL_STOP,-21.7183605
FULL_TRAIL_FIXED7_GB40_CAP30D,FULL_TRAIL,EB1:SOLUSDT:2021-03-20T12:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,17.0,INITIAL_STOP,-21.7183605
HALF_TP_RUNNER_FIXED7_PT10_GB40_CAP30D,HALF_TP_RUNNER,EB1:SOLUSDT:2021-03-20T12:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,17.0,INITIAL_STOP,-21.7183605
HALF_TP_RUNNER_FIXED7_PT20_GB40_CAP30D,HALF_TP_RUNNER,EB1:SOLUSDT:2021-03-20T12:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,17.0,INITIAL_STOP,-21.7183605
FULL_TRAIL_FIXED7_GB60_CAP30D,FULL_TRAIL,EB1:SOLUSDT:2021-03-20T12:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,17.0,INITIAL_STOP,-21.7183605
HALF_TP_RUNNER_FIXED7_PT10_GB60_CAP365D,HALF_TP_RUNNER,EB1:SOLUSDT:2021-03-20T12:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,17.0,INITIAL_STOP,-21.7183605
HALF_TP_RUNNER_FIXED7_PT20_GB60_CAP365D,HALF_TP_RUNNER,EB1:SOLUSDT:2021-03-20T12:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,17.0,INITIAL_STOP,-21.7183605
FULL_TRAIL_STRUCT_CAP10_GB60_CAP365D,FULL_TRAIL,EB1:SOLUSDT:2021-03-20T12:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,56.0,RUNNER_STOP,-0.7498500000000341
TIME_FIXED5_CAP7D,TIME_ONLY,EB1:SOLUSDT:2021-07-06T08:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,61.0,STOP,-15.727357500000041
FIXEDTP_FIXED5_TP10_CAP7D,FIXED_TP,EB1:SOLUSDT:2021-07-06T08:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,61.0,STOP,-15.727357500000041
FIXEDTP_FIXED5_TP20_CAP7D,FIXED_TP,EB1:SOLUSDT:2021-07-06T08:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,61.0,STOP,-15.727357500000041
TIME_FIXED7_CAP7D,TIME_ONLY,EB1:SOLUSDT:2021-07-06T08:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,63.0,STOP,-21.7183605
FIXEDTP_FIXED7_TP10_CAP7D,FIXED_TP,EB1:SOLUSDT:2021-07-06T08:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,63.0,STOP,-21.7183605
FIXEDTP_FIXED7_TP20_CAP7D,FIXED_TP,EB1:SOLUSDT:2021-07-06T08:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,63.0,STOP,-21.7183605
TIME_FIXED7_CAP30D,TIME_ONLY,EB1:SOLUSDT:2021-07-06T08:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,63.0,STOP,-21.7183605
FIXEDTP_FIXED7_TP10_CAP30D,FIXED_TP,EB1:SOLUSDT:2021-07-06T08:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,63.0,STOP,-21.7183605
FIXEDTP_FIXED7_TP20_CAP30D,FIXED_TP,EB1:SOLUSDT:2021-07-06T08:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,63.0,STOP,-21.7183605
TIME_STRUCT_CAP10_CAP7D,TIME_ONLY,EB1:SOLUSDT:2021-07-06T08:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,107.0,STOP,-30.70486499999999
FULL_TRAIL_FIXED7_GB30_CAP30D,FULL_TRAIL,EB1:SOLUSDT:2021-07-06T08:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,44.0,RUNNER_STOP,-0.7498500000000341
FULL_TRAIL_FIXED7_GB40_CAP30D,FULL_TRAIL,EB1:SOLUSDT:2021-07-06T08:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,44.0,RUNNER_STOP,-0.7498500000000341
HALF_TP_RUNNER_FIXED7_PT10_GB40_CAP30D,HALF_TP_RUNNER,EB1:SOLUSDT:2021-07-06T08:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,63.0,INITIAL_STOP,-21.7183605
HALF_TP_RUNNER_FIXED7_PT20_GB40_CAP30D,HALF_TP_RUNNER,EB1:SOLUSDT:2021-07-06T08:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,63.0,INITIAL_STOP,-21.7183605
FULL_TRAIL_FIXED7_GB60_CAP30D,FULL_TRAIL,EB1:SOLUSDT:2021-07-06T08:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,44.0,RUNNER_STOP,-0.7498500000000341
HALF_TP_RUNNER_FIXED7_PT10_GB60_CAP365D,HALF_TP_RUNNER,EB1:SOLUSDT:2021-07-06T08:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,63.0,INITIAL_STOP,-21.7183605
HALF_TP_RUNNER_FIXED7_PT20_GB60_CAP365D,HALF_TP_RUNNER,EB1:SOLUSDT:2021-07-06T08:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,63.0,INITIAL_STOP,-21.7183605
FULL_TRAIL_STRUCT_CAP10_GB60_CAP365D,FULL_TRAIL,EB1:SOLUSDT:2021-07-06T08:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,44.0,RUNNER_STOP,-0.7498500000000341
TIME_FIXED5_CAP7D,TIME_ONLY,EB1:SOLUSDT:2021-07-29T18:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,7638.0,STOP,-15.727357499999984
FIXEDTP_FIXED5_TP10_CAP7D,FIXED_TP,EB1:SOLUSDT:2021-07-29T18:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,32.0,TARGET,29.205165000000036
FIXEDTP_FIXED5_TP20_CAP7D,FIXED_TP,EB1:SOLUSDT:2021-07-29T18:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,52.0,TARGET,59.160180000000054
TIME_FIXED7_CAP7D,TIME_ONLY,EB1:SOLUSDT:2021-07-29T18:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,7639.0,STOP,-21.718360499999942
FIXEDTP_FIXED7_TP10_CAP7D,FIXED_TP,EB1:SOLUSDT:2021-07-29T18:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,32.0,TARGET,29.205165000000036
FIXEDTP_FIXED7_TP20_CAP7D,FIXED_TP,EB1:SOLUSDT:2021-07-29T18:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,52.0,TARGET,59.160180000000054
TIME_FIXED7_CAP30D,TIME_ONLY,EB1:SOLUSDT:2021-07-29T18:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,7639.0,STOP,-21.718360499999942
FIXEDTP_FIXED7_TP10_CAP30D,FIXED_TP,EB1:SOLUSDT:2021-07-29T18:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,32.0,TARGET,29.205165000000036
FIXEDTP_FIXED7_TP20_CAP30D,FIXED_TP,EB1:SOLUSDT:2021-07-29T18:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,52.0,TARGET,59.160180000000054
TIME_STRUCT_CAP10_CAP7D,TIME_ONLY,EB1:SOLUSDT:2021-07-29T18:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,7644.0,STOP,-30.70486499999999
FULL_TRAIL_FIXED7_GB30_CAP30D,FULL_TRAIL,EB1:SOLUSDT:2021-07-29T18:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,13.0,RUNNER_STOP,-0.7498499999999773
FULL_TRAIL_FIXED7_GB40_CAP30D,FULL_TRAIL,EB1:SOLUSDT:2021-07-29T18:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,13.0,RUNNER_STOP,-0.7498499999999773
HALF_TP_RUNNER_FIXED7_PT10_GB40_CAP30D,HALF_TP_RUNNER,EB1:SOLUSDT:2021-07-29T18:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,246.0,RUNNER_STOP,43.72981396899484
HALF_TP_RUNNER_FIXED7_PT20_GB40_CAP30D,HALF_TP_RUNNER,EB1:SOLUSDT:2021-07-29T18:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,246.0,RUNNER_STOP,58.70732146899485
FULL_TRAIL_FIXED7_GB60_CAP30D,FULL_TRAIL,EB1:SOLUSDT:2021-07-29T18:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,13.0,RUNNER_STOP,-0.7498499999999773
HALF_TP_RUNNER_FIXED7_PT10_GB60_CAP365D,HALF_TP_RUNNER,EB1:SOLUSDT:2021-07-29T18:00:00+00:00,SOLUSDT,PRE_BREAKOUT,2021,4206.0,RUNNER_STOP,464.99311164472016
