variant,stage,trades,combined_pnl_usdt,mean_pnl_usdt,median_pnl_usdt,profit_factor,win_rate,median_duration_hours,p10_pnl_usdt,p90_pnl_usdt,family,stop_mode,cap_days,take_profit_pct,trail_giveback_pct,partial_take_profit_pct
TIME_FIXED3_CAP1D,PRE_BREAKOUT,3425.0,-33347.01416249998,-9.736354499999994,-9.73635449999997,0.0,0.0,41.0,-9.736354500000028,-9.73635449999997,TIME_ONLY,FIXED3,1,,,
FIXEDTP_FIXED3_TP10_CAP1D,PRE_BREAKOUT,3528.0,1281.631666500063,0.36327428188777294,-9.73635449999997,1.0503764362868562,0.2593537414965986,32.0,-9.736354500000028,29.205165000000036,FIXED_TP,FIXED3,1,0.1,,
FIXEDTP_FIXED3_TP20_CAP1D,PRE_BREAKOUT,3525.0,5570.443863000028,1.5802677625531993,-9.73635449999997,1.1942051226207864,0.16425531914893618,41.0,-9.736354500000028,59.16018,FIXED_TP,FIXED3,1,0.2,,
TIME_FIXED3_CAP2D,PRE_BREAKOUT,3425.0,-33347.01416249998,-9.736354499999994,-9.73635449999997,0.0,0.0,41.0,-9.736354500000028,-9.73635449999997,TIME_ONLY,FIXED3,2,,,
FIXEDTP_FIXED3_TP10_CAP2D,PRE_BREAKOUT,3528.0,1281.631666500063,0.36327428188777294,-9.73635449999997,1.0503764362868562,0.2593537414965986,32.0,-9.736354500000028,29.205165000000036,FIXED_TP,FIXED3,2,0.1,,
FIXEDTP_FIXED3_TP20_CAP2D,PRE_BREAKOUT,3525.0,5570.443863000028,1.5802677625531993,-9.73635449999997,1.1942051226207864,0.16425531914893618,41.0,-9.736354500000028,59.16018,FIXED_TP,FIXED3,2,0.2,,
TIME_FIXED3_CAP3D,PRE_BREAKOUT,3425.0,-33347.01416249998,-9.736354499999994,-9.73635449999997,0.0,0.0,41.0,-9.736354500000028,-9.73635449999997,TIME_ONLY,FIXED3,3,,,
FIXEDTP_FIXED3_TP10_CAP3D,PRE_BREAKOUT,3528.0,1281.631666500063,0.36327428188777294,-9.73635449999997,1.0503764362868562,0.2593537414965986,32.0,-9.736354500000028,29.205165000000036,FIXED_TP,FIXED3,3,0.1,,
FIXEDTP_FIXED3_TP20_CAP3D,PRE_BREAKOUT,3525.0,5570.443863000028,1.5802677625531993,-9.73635449999997,1.1942051226207864,0.16425531914893618,41.0,-9.736354500000028,59.16018,FIXED_TP,FIXED3,3,0.2,,
TIME_FIXED3_CAP4D,PRE_BREAKOUT,3425.0,-33347.01416249998,-9.736354499999994,-9.73635449999997,0.0,0.0,41.0,-9.736354500000028,-9.73635449999997,TIME_ONLY,FIXED3,4,,,
FIXEDTP_FIXED3_TP10_CAP4D,PRE_BREAKOUT,3528.0,1281.631666500063,0.36327428188777294,-9.73635449999997,1.0503764362868562,0.2593537414965986,32.0,-9.736354500000028,29.205165000000036,FIXED_TP,FIXED3,4,0.1,,
FIXEDTP_FIXED3_TP20_CAP4D,PRE_BREAKOUT,3525.0,5570.443863000028,1.5802677625531993,-9.73635449999997,1.1942051226207864,0.16425531914893618,41.0,-9.736354500000028,59.16018,FIXED_TP,FIXED3,4,0.2,,
