variant,year,trades,combined_pnl_usdt,mean_pnl_usdt,win_rate,family,stop_mode,cap_days,take_profit_pct,trail_giveback_pct,partial_take_profit_pct
TIME_FIXED3_CAP1D,2021,256,-2492.506751999998,-9.736354499999992,0.0,TIME_ONLY,FIXED3,1,,,
FIXEDTP_FIXED3_TP10_CAP1D,2021,257,106.8387000000054,0.41571478599223893,0.2607003891050584,FIXED_TP,FIXED3,1,0.1,,
FIXEDTP_FIXED3_TP20_CAP1D,2021,257,529.2044115000027,2.059161134241256,0.17120622568093385,FIXED_TP,FIXED3,1,0.2,,
TIME_FIXED3_CAP2D,2021,256,-2492.506751999998,-9.736354499999992,0.0,TIME_ONLY,FIXED3,2,,,
FIXEDTP_FIXED3_TP10_CAP2D,2021,257,106.8387000000054,0.41571478599223893,0.2607003891050584,FIXED_TP,FIXED3,2,0.1,,
FIXEDTP_FIXED3_TP20_CAP2D,2021,257,529.2044115000027,2.059161134241256,0.17120622568093385,FIXED_TP,FIXED3,2,0.2,,
TIME_FIXED3_CAP3D,2021,256,-2492.506751999998,-9.736354499999992,0.0,TIME_ONLY,FIXED3,3,,,
FIXEDTP_FIXED3_TP10_CAP3D,2021,257,106.8387000000054,0.41571478599223893,0.2607003891050584,FIXED_TP,FIXED3,3,0.1,,
FIXEDTP_FIXED3_TP20_CAP3D,2021,257,529.2044115000027,2.059161134241256,0.17120622568093385,FIXED_TP,FIXED3,3,0.2,,
TIME_FIXED3_CAP4D,2021,256,-2492.506751999998,-9.736354499999992,0.0,TIME_ONLY,FIXED3,4,,,
FIXEDTP_FIXED3_TP10_CAP4D,2021,257,106.8387000000054,0.41571478599223893,0.2607003891050584,FIXED_TP,FIXED3,4,0.1,,
FIXEDTP_FIXED3_TP20_CAP4D,2021,257,529.2044115000027,2.059161134241256,0.17120622568093385,FIXED_TP,FIXED3,4,0.2,,
TIME_FIXED3_CAP5D,2021,256,-2492.506751999998,-9.736354499999992,0.0,TIME_ONLY,FIXED3,5,,,
